"","ID","Ancien_ID","Nom","Statut","Latitude","Longitude","Annee_implante","sum","sum2022","sum2021","sum2020","sum2019","labels"
"8",100003042,22,"Parc / Duluth","Actif",45.51385,-73.58151,2010,1626565,434450,415998,324783,451334,"<b>PARC / DULUTH</b><p>Statut: Actif</b><p>Année implanté: 2010</b><p>Nombre de passages (2019-2022): 1.63M</b><p>Latitude: 45.51385</b><p>Longitude: -73.58151</b><p>ID: 100003042"
"20",100035408,NA,"Boyer / Everett","Actif",45.5434607916872,-73.6166833651916,2017,1491082,273497,354657,334219,528709,"<b>BOYER / EVERETT</b><p>Statut: Actif</b><p>Année implanté: 2017</b><p>Nombre de passages (2019-2022): 1.49M</b><p>Latitude: 45.5434607916872</b><p>Longitude: -73.6166833651916</b><p>ID: 100035408"
"49",100054585,NA,"Remembrance","En maintenance",45.5016031751196,-73.5979340675884,2019,1450462,64896,402386,983180,0,"<b>REMEMBRANCE</b><p>Statut: En maintenance</b><p>Année implanté: 2019</b><p>Nombre de passages (2019-2022): 1.45M</b><p>Latitude: 45.5016031751196</b><p>Longitude: -73.5979340675884</b><p>ID: 100054585"
"28",100052603,NA,"Piste Des Carrières","Actif",45.5341601252418,-73.5914641461866,2019,1316124,319598,462364,456177,77985,"<b>PISTE DES CARRIÈRES</b><p>Statut: Actif</b><p>Année implanté: 2019</b><p>Nombre de passages (2019-2022): 1.32M</b><p>Latitude: 45.5341601252418</b><p>Longitude: -73.5914641461866</b><p>ID: 100052603"
"13",100011783,17,"Maisonneuve / Marcil","Actif",45.470493,-73.609566,2013,1252910,254796,323742,322028,352344,"<b>MAISONNEUVE / MARCIL</b><p>Statut: Actif</b><p>Année implanté: 2013</b><p>Nombre de passages (2019-2022): 1.25M</b><p>Latitude: 45.470493</b><p>Longitude: -73.609566</b><p>ID: 100011783"
"38",100055268,NA,"Rachel / Pie IX","Actif",45.5536465345401,-73.5557600288962,2020,1158153,301734,429629,426790,0,"<b>RACHEL / PIE IX</b><p>Statut: Actif</b><p>Année implanté: 2020</b><p>Nombre de passages (2019-2022): 1.16M</b><p>Latitude: 45.5536465345401</b><p>Longitude: -73.5557600288962</b><p>ID: 100055268"
"6",100003040,12,"Pierre-Dupuy","Actif",45.50127,-73.54441,2010,1151233,279019,356594,312835,202785,"<b>PIERRE-DUPUY</b><p>Statut: Actif</b><p>Année implanté: 2010</b><p>Nombre de passages (2019-2022): 1.15M</b><p>Latitude: 45.50127</b><p>Longitude: -73.54441</b><p>ID: 100003040"
"16",100017441,7,"University / Milton","Actif",45.506134,-73.57587,2013,1140089,399607,343015,271910,125557,"<b>UNIVERSITY / MILTON</b><p>Statut: Actif</b><p>Année implanté: 2013</b><p>Nombre de passages (2019-2022): 1.14M</b><p>Latitude: 45.506134</b><p>Longitude: -73.57587</b><p>ID: 100017441"
"54",300014985,NA,"REV St-Denis/Carrières dir sud","Actif",45.5302713279562,-73.5969614982605,2020,1137363,547046,589093,1224,0,"<b>REV ST-DENIS/CARRIÈRES DIR SUD</b><p>Statut: Actif</b><p>Année implanté: 2020</b><p>Nombre de passages (2019-2022): 1.14M</b><p>Latitude: 45.5302713279562</b><p>Longitude: -73.5969614982605</b><p>ID: 300014985"
"1",100041114,NA,"Eco-Display Parc Stanley","Actif",45.557592965612,-73.6732219807009,2018,1071168,241233,273155,352472,204308,"<b>ECO-DISPLAY PARC STANLEY</b><p>Statut: Actif</b><p>Année implanté: 2018</b><p>Nombre de passages (2019-2022): 1.07M</b><p>Latitude: 45.557592965612</b><p>Longitude: -73.6732219807009</b><p>ID: 100041114"
"53",300014986,NA,"REV St-Denis/Carrières dir nord","Actif",45.5305268678581,-73.5971170663834,2020,1027183,488637,537340,1206,0,"<b>REV ST-DENIS/CARRIÈRES DIR NORD</b><p>Statut: Actif</b><p>Année implanté: 2020</b><p>Nombre de passages (2019-2022): 1.03M</b><p>Latitude: 45.5305268678581</b><p>Longitude: -73.5971170663834</b><p>ID: 300014986"
"23",100001753,18,"Notre-Dame","Actif",45.530216,-73.544426,2013,1022718,193006,304405,212461,312846,"<b>NOTRE-DAME</b><p>Statut: Actif</b><p>Année implanté: 2013</b><p>Nombre de passages (2019-2022): 1.02M</b><p>Latitude: 45.530216</b><p>Longitude: -73.544426</b><p>ID: 100001753"
"56",300014996,NA,"REV St-Denis/Rachel dir sud","Actif",45.5216236242897,-73.5778963565827,2020,932945,457818,474322,805,0,"<b>REV ST-DENIS/RACHEL DIR SUD</b><p>Statut: Actif</b><p>Année implanté: 2020</b><p>Nombre de passages (2019-2022): 0.933M</b><p>Latitude: 45.5216236242897</b><p>Longitude: -73.5778963565827</b><p>ID: 300014996"
"12",100011748,36,"René-Lévesque / Wolfe","Actif",45.516968,-73.55404,2013,920271,30872,375237,249748,264414,"<b>RENÉ-LÉVESQUE / WOLFE</b><p>Statut: Actif</b><p>Année implanté: 2013</b><p>Nombre de passages (2019-2022): 0.92M</b><p>Latitude: 45.516968</b><p>Longitude: -73.55404</b><p>ID: 100011748"
"21",100035409,NA,"Christophe-Colomb/Louvain","Actif",45.55773,-73.64662,2017,901486,164216,247399,227254,262617,"<b>CHRISTOPHE-COLOMB/LOUVAIN</b><p>Statut: Actif</b><p>Année implanté: 2017</b><p>Nombre de passages (2019-2022): 0.901M</b><p>Latitude: 45.55773</b><p>Longitude: -73.64662</b><p>ID: 100035409"
"55",300014995,NA,"REV St-Denis/Duluth dir nord","Actif",45.5208568797579,-73.5760295391083,2020,886825,428502,457629,694,0,"<b>REV ST-DENIS/DULUTH DIR NORD</b><p>Statut: Actif</b><p>Année implanté: 2020</b><p>Nombre de passages (2019-2022): 0.887M</b><p>Latitude: 45.5208568797579</b><p>Longitude: -73.5760295391083</b><p>ID: 300014995"
"43",100057053,NA,"Maisonneuve / Vendôme","Actif",45.4737062032492,-73.6048618189599,2019,880516,198304,354632,327580,0,"<b>MAISONNEUVE / VENDÔME</b><p>Statut: Actif</b><p>Année implanté: 2019</b><p>Nombre de passages (2019-2022): 0.881M</b><p>Latitude: 45.4737062032492</b><p>Longitude: -73.6048618189599</b><p>ID: 100057053"
"36",100053210,NA,"Souligny / Saint-Émile","Actif",45.5955376450411,-73.5204354513853,2019,865850,89445,122413,125446,528546,"<b>SOULIGNY / SAINT-ÉMILE</b><p>Statut: Actif</b><p>Année implanté: 2019</b><p>Nombre de passages (2019-2022): 0.866M</b><p>Latitude: 45.5955376450411</b><p>Longitude: -73.5204354513853</b><p>ID: 100053210"
"9",100004575,2,"Brébeuf / Rachel","Actif",45.527496,-73.57432,2009,771920,275539,113572,381846,963,"<b>BRÉBEUF / RACHEL</b><p>Statut: Actif</b><p>Année implanté: 2009</b><p>Nombre de passages (2019-2022): 0.772M</b><p>Latitude: 45.527496</b><p>Longitude: -73.57432</b><p>ID: 100004575"
"26",100052601,NA,"Pont Ile Bizard","Actif",45.4862215231993,-73.8660642355533,2019,749563,13095,120461,129992,486015,"<b>PONT ILE BIZARD</b><p>Statut: Actif</b><p>Année implanté: 2019</b><p>Nombre de passages (2019-2022): 0.75M</b><p>Latitude: 45.4862215231993</b><p>Longitude: -73.8660642355533</b><p>ID: 100052601"
"47",100053209,NA,"Camillien-Houde 1","Actif",45.5086158166105,-73.5911635163874,2019,733961,135841,296886,301234,0,"<b>CAMILLIEN-HOUDE 1</b><p>Statut: Actif</b><p>Année implanté: 2019</b><p>Nombre de passages (2019-2022): 0.734M</b><p>Latitude: 45.5086158166105</b><p>Longitude: -73.5911635163874</b><p>ID: 100053209"
"50",300014916,NA,"REV Bellechasse / 13ème","Actif",45.5554627271609,-73.5810452699661,2021,733569,325089,407440,1040,0,"<b>REV BELLECHASSE / 13ÈME</b><p>Statut: Actif</b><p>Année implanté: 2021</b><p>Nombre de passages (2019-2022): 0.734M</b><p>Latitude: 45.5554627271609</b><p>Longitude: -73.5810452699661</b><p>ID: 300014916"
"17",100017523,1,"Saint-Urbain","Actif",45.5193951037592,-73.5886631073951,2014,711321,91643,259047,287964,72667,"<b>SAINT-URBAIN</b><p>Statut: Actif</b><p>Année implanté: 2014</b><p>Nombre de passages (2019-2022): 0.711M</b><p>Latitude: 45.5193951037592</b><p>Longitude: -73.5886631073951</b><p>ID: 100017523"
"44",100057500,4,"Maisonneuve / Berri","Actif",45.5149245000975,-73.5613794582211,2008,707757,151531,198347,351033,6846,"<b>MAISONNEUVE / BERRI</b><p>Statut: Actif</b><p>Année implanté: 2008</b><p>Nombre de passages (2019-2022): 0.708M</b><p>Latitude: 45.5149245000975</b><p>Longitude: -73.5613794582211</b><p>ID: 100057500"
